best,threshold,entropy
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
460,460,460,390
461,461,461,391
461,461,461,391
461,461,461,391
461,461,461,391
462,462,462,392
462,462,462,392
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
463,463,463,393
464,464,464,394
464,464,464,394
464,464,464,394
464,464,464,394
465,465,465,395
465,465,465,395
465,465,465,395
465,465,465,395
465,465,465,395
467,467,467,395
468,468,468,396
468,468,468,396
468,468,468,396
469,469,469,397
469,469,469,397
469,469,469,397
469,469,469,397
469,469,469,397
469,469,469,397
470,470,470,398
471,471,471,398
471,471,471,398
471,471,471,398
472,472,472,399
472,472,472,399
472,472,472,399
473,473,473,399
474,474,474,400
475,475,475,401
475,475,475,401
475,475,475,401
475,475,475,401
475,475,475,401
476,476,476,402
476,476,476,402
476,476,476,402
476,476,476,402
478,478,478,403
479,479,479,404
479,479,479,404
479,479,479,404
479,479,479,404
480,480,480,405
481,481,481,406
481,481,481,406
481,481,481,406
481,481,481,406
481,481,481,406
481,481,481,406
482,482,482,407
483,483,483,408
484,484,484,409
485,485,485,410
486,486,486,411
486,486,486,411
486,486,486,411
488,488,488,413
488,488,488,413
488,488,488,413
490,490,490,414
490,490,490,414
490,490,490,414
490,490,490,414
490,490,490,414
490,490,490,414
491,491,491,415
492,492,492,416
492,492,492,416
492,492,492,416
492,492,492,416
492,492,492,416
493,493,493,417
493,493,493,417
493,493,493,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
494,494,494,417
495,495,495,418
496,496,496,419
496,496,496,419
497,497,497,420
497,497,497,420
498,498,498,421
498,498,498,421
498,498,498,421
498,498,498,421
499,499,499,422
499,499,499,422
499,499,499,422
500,500,500,423
500,500,500,423
500,500,500,423
501,501,501,423
501,501,501,423
502,502,502,424
503,503,503,425
503,503,503,425
503,503,503,425
504,504,504,426
504,504,504,426
504,504,504,426
506,506,506,428
507,507,507,429
510,510,510,431
511,511,511,432
511,511,511,432
512,512,512,433
512,512,512,433
514,514,514,435
514,514,514,435
514,514,514,435
514,514,514,435
517,517,517,438
517,517,517,438
517,517,517,438
517,517,517,438
517,517,517,438
517,517,517,438
518,518,518,438
519,519,519,439
520,520,520,440
521,521,521,441
521,521,521,441
522,522,522,442
522,522,522,442
522,522,522,442
522,522,522,442
523,523,523,443
523,523,523,443
524,524,524,444
525,525,525,445
525,525,525,445
525,525,525,445
526,526,526,446
526,526,526,446
526,526,526,446
527,527,527,447
527,527,527,447
527,527,527,447
528,528,528,448
528,528,528,448
528,528,528,448
528,528,528,448
529,529,529,449
529,529,529,449
529,529,529,449
530,530,530,450
530,530,530,450
530,530,530,450
530,530,530,450
530,530,530,450
531,531,531,451
531,531,531,451
532,532,532,452
532,532,532,452
532,532,532,452
532,532,532,452
533,533,533,453
535,535,535,455
535,535,535,455
537,537,537,457
537,537,537,457
538,538,538,458
538,538,538,458
538,538,538,458
538,538,538,458
538,538,538,458
538,538,538,458
538,538,538,458
539,539,539,459
539,539,539,459
540,540,540,460
541,541,541,461
541,541,541,461
541,541,541,461
541,541,541,461
543,543,543,462
544,544,544,462
545,545,545,463
545,545,545,463
545,545,545,463
545,545,545,463
546,546,546,463
546,546,546,463
546,546,546,463
547,547,547,464
548,548,548,465
548,548,548,465
548,548,548,465
548,548,548,465
548,548,548,465
549,549,549,465
549,549,549,465
549,549,549,465
549,549,549,465
550,550,550,466
550,550,550,466
552,552,552,467
553,553,553,468
553,553,553,468
554,554,554,468
555,555,555,468
555,555,555,468
555,555,555,468
556,556,556,468
556,556,556,468
556,556,556,468
556,556,556,468
557,557,557,469
557,557,557,469
557,557,557,469
557,557,557,469
557,557,557,469
558,558,558,470
558,558,558,470
558,558,558,470
558,558,558,470
558,558,558,470
558,558,558,470
558,558,558,470
559,559,559,471
561,561,561,473
561,561,561,473
561,561,561,473
561,561,561,473
562,562,562,474
562,562,562,474
562,562,562,474
563,563,563,474
563,563,563,474
563,563,563,474
563,563,563,474
563,563,563,474
563,563,563,474
564,564,564,475
564,564,564,475
565,565,565,476
566,566,566,477
567,567,567,478
569,569,569,479
569,569,569,479
570,570,570,479
571,571,571,479
571,571,571,479
572,572,572,480
572,572,572,480
572,572,572,480
573,573,573,480
574,574,574,481
576,576,576,483
576,576,576,483
576,576,576,483
576,576,576,483
576,576,576,483
576,576,576,483
576,576,576,483
578,578,578,484
578,578,578,484
578,578,578,484
578,578,578,484
578,578,578,484
578,578,578,484
579,579,579,485
579,579,579,485
580,580,580,486
580,580,580,486
581,581,581,487
583,583,583,487
583,583,583,487
584,584,584,488
585,585,585,489
586,586,586,490
586,586,586,490
587,587,587,491
588,588,588,492
588,588,588,492
589,589,589,493
589,589,589,493
589,589,589,493
589,589,589,493
590,590,590,494
590,590,590,494
590,590,590,494
